Node,type,x,y,linked
1,sea entrance,70,100,0
42,junction,100,130,1
3,headwater,120,265,42
33,junction,150,185,42
4,headwater,120,285,33
34,flowgauge,170,210,33
5,headwater,195,320,34
59,junction,185,205,34
17,headwater,225,295,59
35,junction,220,185,59
18,headwater,240,140,35
2,junction,228,190,35
19,headwater,330,190,2
36,junction,275,255,2
20,headwater,330,200,36
37,junction,290,270,36
16,headwater,245,330,37
39,junction,320,290,37
55,junction,360,260,39
25,headwater,430,230,55
56,junction,370,230,55
57,junction,365,220,56
21,headwater,340,215,57
22,headwater,370,180,57
58,junction,380,220,56
23,headwater,430,180,58
24,headwater,460,200,58
38,junction,325,335,39
41,junction,290,360,38
40,junction,265,360,41
6,headwater,225,370,40
7,headwater,230,420,40
43,junction,305,390,41
8,headwater,260,470,43
9,headwater,315,460,43
49,junction,350,345,38
48,junction,350,360,49
14,headwater,360,410,48
15,headwater,385,390,48
46,junction,380,340,49
45,junction,450,380,46
29,headwater,520,275,45
47,junction,415,445,45
13,headwater,380,570,47
44,junction,400,450,47
10,headwater,325,500,44
60,junction,360,490,44
11,headwater,348,495,60
12,headwater,355,515,60
50,Katherine,430,290,46
51,junction,430,280,50
28,headwater,410,275,51
27,headwater,425,260,51
52,junction,450,275,50
26,headwater,460,220,52
53,junction,500,250,52
30,headwater,580,210,53
54,junction,540,165,53
31,headwater,560,120,54
32,headwater,580,90,54
50,Katherine,430,290,61
33,Daley River,150,185,50
61,Pine Creek,350,190,62
50,Katherine,430,290,19
61,Pine Creek ,350,190,50
33,Daley River,150,185,62
19,headwater,330,190,61
61,Pine Creek,350,190,19
19,headwater,330,190,18
18,headwater,240,140,19
62,Roadjunction,220,100,61
62,Roadjunction,220,100,33
63,Delamere,310,480,50
63,Delamere,310,480,9
50,Katherine,430,290,63
9,headwater,315,460,63